Lemma-id	Grunnform	Funksjon	BOB-koder normerte	Normerte para-koder Nr2000
73402	ulage	lemma	subst	890
72187	tverke	lemma	subst	999
72340	tyngre	lemma	a3	513
72477	tyvtitte	lemma	v1	001 010 011
74434	ustand	lemma	m1	700
74435	ustand	lemma	subst	999
74478	ut av	uttr	prep	691
74479	ut i	uttr	prep	691
74481	ut på	uttr	prep	691
83862	sultefôre	lemma	v1#v2	001 010 011 020
84239	A	lemma	fork	1001
84240	av	fork	fork	1001
84243	D	fork	fork	1001
84244	E	fork	fork	1001
84249	R	fork	fork	1001
84252	U	fork	fork	1001
84253	u	fork	fork	1001
84254	v	fork		
84255	X	fork	fork	1001
84270	A	symb	symb	1004
84271	Å	symb	symb	1004
84272	B	symb	symb	1004
84273	b	symb	symb	1004
84274	C	symb	symb	1004
84275	d	symb	symb	1004
84276	da	symb	symb	1004
84277	F	symb	symb	1004
84278	G	symb	fork	1001
84280	H	symb	symb	1004
84282	J	symb	symb	1004
84283	K	symb	symb	1004
84285	N	symb	symb	1004
84286	n	symb	fork	1001
84287	O	symb	symb	1004
84288	P	symb	symb	1004
84289	S	symb	symb	1004
84290	s	fork	fork	1001
84291	T	symb	symb	1004
84292	U	symb	symb	1004
84293	u	symb	symb	1004
84294	V	symb	symb	1004
84295	W	symb	symb	1004
84296	Y	symb	symb	1004
84500	IS	fork		
83508	vilden	lemma		
83509	villen	lemma		
83976	sterkt	lemma	subst	890
83556	B	lemma	subst	790
83557	b	lemma	subst	790
83558	babb	lemma	subst	999
83628	et	lemma	konj	692
83684	ho	lemma		
83740	kynnerer	lemma		
79950	våre	lemma	v1	001 010 011
81813	ruff	lemma	subst	790
82360	eder	lemma		
80788	Æ	lemma	m	701
80790	Ø	lemma	m	701
82487	frifot	lemma	m	763
83069	Pål	lemma	m1	700
83089	restante	lemma		
82574	halv	lemma	subst	790
80669	årlig års	uttr	adv	695
80951	økte	lemma	v1	001 010 011
82700	innstemne	lemma		
83162	sin	fork	fork	1001
83168	sjøl om	uttr	sub	693
79406	visst	lemma	adv	695
81082	øs	lemma	a1	507
82957	min	symb	symb	1004
81267	øye	lemma	v3	030
81921	spann	lemma	subst	890
81940	stemne	lemma		
81941	stevne	lemma	v1#v2	001 010 011 020
80107	w	lemma	m	701
80184	x	lemma	m	701
81423	bære	lemma	v	090
81456	fersken	lemma	subst	999
80229	yd	symb	symb	1004
80273	yngre	lemma	a3	513
80359	ytre	lemma	n2	802 812
81649	kulle	lemma		
